"Region/Country/Economy",1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Canada",63.89,59.31,59.99,58.73,59.02,64.87,69.40,70.38,75.67,82.13,81.70,87.31,95.06,104.49,100.85,92.89,99.79,107.91,108.28,96.15,101.16,104.26,95.63,98.91,100.65,102.53,109.05,115.83,116.43,125.89,123.28,120.10,119.25,113.01,111.30,109.48,117.75,107.94,89.85,92.63,87.39,79.94,76.27,75.30,74.12,71.35
"Chile",5.14,4.38,4.63,4.54,3.60,3.71,3.90,3.91,4.28,4.85,4.86,3.16,3.79,5.13,4.98,5.13,4.94,7.04,9.20,9.79,7.94,7.16,6.99,8.48,8.89,12.36,16.03,15.14,15.62,11.66,9.20,9.31,9.08,10.41,10.26,13.40,13.01,16.09,15.08,17.54,21.44,24.65,28.02,24.22,27.82,29.30
"Mexico",5.17,5.79,6.48,6.78,6.66,7.28,7.98,8.22,7.97,7.32,7.82,8.19,11.24,11.11,11.67,12.00,13.09,11.79,13.35,15.15,14.88,14.84,18.02,19.95,21.81,24.74,25.25,25.94,25.46,26.41,30.05,34.32,43.66,39.29,48.08,52.19,46.81,42.68,42.32,53.58,57.70,50.67,51.34,50.14,55.05,47.70
"United States",1105.84,1171.23,1241.85,1234.44,1226.22,1307.90,1356.19,1341.13,1421.07,1433.48,1514.76,1447.75,1524.77,1610.83,1662.04,1626.15,1699.17,1782.05,1797.89,1837.19,1822.84,1827.10,1877.99,1883.18,1938.61,2015.74,2103.75,2083.53,2066.02,2171.97,2173.87,2091.31,2131.07,2157.07,2179.21,2146.25,2173.94,2130.81,1870.97,1982.18,1869.96,1648.09,1705.19,1698.80,1465.19,1356.12
"OECD Americas",1180.04,1240.71,1312.95,1304.49,1295.49,1383.77,1437.47,1423.64,1508.98,1527.78,1609.14,1546.41,1634.86,1731.57,1779.54,1736.16,1816.99,1908.78,1928.72,1958.28,1946.81,1953.35,1998.63,2010.51,2069.97,2155.38,2254.08,2240.43,2223.53,2335.94,2336.40,2255.03,2303.06,2319.77,2348.85,2321.31,2351.51,2297.51,2018.22,2145.93,2036.49,1803.35,1860.81,1848.45,1622.18,1504.47
"Australia",75.25,79.31,81.56,86.94,92.86,92.94,100.77,92.87,97.17,106.64,107.75,112.62,105.60,108.31,119.37,117.73,125.78,131.07,140.37,140.83,145.63,148.72,149.65,151.97,156.42,163.42,169.61,187.72,189.41,190.10,195.21,196.90,195.24,203.91,208.09,211.44,213.04,210.56,216.80,201.96,193.39,188.52,176.00,167.32,172.87,177.69
"Israel",0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.24,4.20,6.70,7.32,8.11,8.63,8.54,9.15,9.46,10.17,12.40,14.17,15.02,16.46,19.56,21.58,23.20,22.81,25.56,28.78,30.07,30.98,31.02,29.52,30.51,31.91,30.23,29.21,29.32,30.40,33.68,28.11,26.16,25.61,21.86
"Japan",201.56,206.83,211.75,211.47,205.48,204.35,193.60,175.49,188.76,198.43,212.20,222.61,219.40,243.54,255.18,246.33,244.43,264.56,266.11,297.90,301.00,298.52,303.88,314.89,325.31,334.14,337.92,311.22,327.45,353.21,363.63,381.03,395.57,401.22,410.08,405.89,424.41,397.90,378.10,413.20,396.20,416.95,455.61,450.21,446.59,441.01
"Korea",22.21,23.02,28.55,30.45,32.09,34.78,37.67,38.42,44.13,50.54,56.94,57.65,62.88,76.55,83.97,87.99,87.91,93.60,89.82,90.79,91.89,86.86,95.28,100.85,106.55,122.09,132.00,136.07,142.32,180.50,193.60,182.88,185.36,200.19,200.06,210.35,216.48,242.48,259.04,284.29,306.21,298.76,292.00,298.56,311.36,303.35
"New Zealand",3.97,4.10,4.53,4.51,4.25,4.39,4.10,4.32,3.70,3.91,3.92,3.95,4.31,4.30,3.99,3.46,4.15,4.83,4.25,3.39,3.16,3.50,3.44,3.31,3.39,3.28,3.96,4.53,4.67,4.52,5.68,5.60,8.13,8.26,8.98,8.96,6.81,8.37,6.37,5.61,5.43,6.78,5.93,5.69,5.57,4.69
"OECD Asia Oceania",303.02,313.27,326.41,333.36,334.68,336.47,336.15,311.11,333.75,359.53,380.82,399.07,396.40,439.39,469.83,463.62,470.90,502.61,509.69,542.37,551.84,550.01,566.43,586.04,608.14,642.48,665.07,662.73,686.66,753.89,786.90,796.49,815.28,844.59,856.73,867.15,892.65,889.54,889.50,934.38,931.63,944.69,957.65,947.93,962.00,948.59
"Austria",16.29,15.27,15.33,15.94,13.85,14.81,12.44,12.88,13.95,14.15,15.10,14.40,15.22,17.33,17.41,15.35,15.26,14.33,14.36,16.52,17.48,13.52,12.21,12.48,14.31,13.93,14.74,13.09,13.23,15.00,15.71,15.68,16.81,16.85,16.22,16.26,15.88,15.28,11.58,14.39,15.06,13.95,14.48,13.31,12.78,11.70
"Belgium",44.22,46.18,47.43,51.48,38.65,40.40,40.03,41.14,42.04,41.87,41.30,40.80,37.20,41.41,39.22,35.36,35.44,37.07,38.63,40.41,39.32,35.68,33.70,36.49,34.75,33.11,31.53,31.15,27.61,30.25,29.18,24.43,23.78,22.01,20.64,19.29,17.40,17.90,10.70,14.00,13.04,12.06,12.59,12.19,11.71,10.97
"Czech Republic",132.04,129.08,122.71,120.58,124.24,128.09,134.65,130.40,138.84,132.15,132.11,137.01,138.82,140.21,138.92,138.87,138.87,137.20,128.70,116.58,106.13,98.23,95.97,90.53,91.43,90.06,87.76,80.69,74.16,86.24,83.48,80.23,82.65,82.05,78.04,79.16,81.98,77.25,72.29,74.18,72.83,69.89,66.12,63.74,63.11,63.50
"Denmark",6.08,5.53,7.91,6.80,8.12,11.45,13.10,14.15,17.17,24.19,19.26,23.31,21.96,23.60,28.98,29.26,28.71,26.80,22.06,24.18,32.79,27.32,28.64,30.76,25.75,35.36,26.31,22.34,18.77,15.73,16.64,16.66,22.73,17.40,14.69,22.07,18.49,16.25,15.97,15.52,12.92,10.10,12.86,10.20,7.27,8.37
"Estonia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",23.58,20.72,17.38,12.58,12.20,11.34,11.86,11.59,11.13,10.46,10.42,10.34,10.00,11.93,11.90,12.00,10.68,14.36,12.98,10.63,14.23,13.41,12.00,14.25,13.13,10.81,11.83
"Finland",8.65,9.63,10.39,10.59,9.62,12.93,13.23,18.00,17.36,20.12,12.91,13.65,14.40,16.17,20.30,18.58,20.89,20.68,20.40,21.69,22.81,20.38,22.75,27.23,23.81,29.46,27.86,23.02,22.55,21.63,25.84,28.07,34.92,31.55,20.80,31.68,29.91,22.99,22.36,28.78,23.54,18.96,20.80,18.73,16.25,18.04
"France",140.12,123.72,123.30,122.49,108.29,122.57,123.09,119.87,126.14,125.56,111.28,114.58,103.38,100.07,94.47,80.69,73.54,73.84,80.40,75.91,81.08,72.04,55.71,55.90,59.26,62.85,57.83,67.66,60.08,59.60,50.10,51.80,53.18,51.74,55.89,52.56,54.99,50.19,42.24,45.60,36.86,41.64,43.88,32.32,31.58,27.62
"Germany",558.04,547.87,555.68,556.00,499.47,531.57,511.92,523.34,555.41,561.24,570.98,558.53,566.57,591.39,591.52,573.80,565.19,562.10,560.39,516.18,460.84,419.99,400.67,392.34,380.34,382.77,365.08,356.24,337.58,345.91,348.26,349.50,356.86,347.98,334.53,340.98,350.94,324.82,292.08,314.32,314.09,324.99,333.41,317.18,315.97,301.03
"Greece",6.71,7.50,8.41,8.73,10.84,13.08,13.52,12.55,13.65,13.22,14.87,16.02,19.91,21.19,24.83,25.32,27.98,30.69,33.03,33.52,32.37,34.42,34.57,35.84,37.09,33.69,33.48,34.30,33.74,38.30,39.27,37.86,38.36,39.01,38.54,35.35,37.33,36.08,35.74,33.56,33.32,33.57,29.27,27.45,23.62,20.07
"Hungary",35.86,35.02,35.77,34.66,33.76,35.01,35.02,38.39,37.80,37.33,36.93,38.07,36.49,36.96,35.58,34.76,34.85,33.07,31.08,24.62,23.20,19.31,18.41,17.84,17.55,17.35,16.49,16.21,16.48,15.56,14.97,14.70,15.13,14.49,12.54,12.20,12.25,11.93,10.21,10.66,10.81,10.46,9.11,8.99,9.35,8.69
"Iceland",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.13,0.18,0.25,0.27,0.30,0.24,0.24,0.25,0.27,0.27,0.19,0.19,0.28,0.23,0.27,0.24,0.28,0.24,0.41,0.39,0.41,0.38,0.43,0.42,0.37,0.44,0.39,0.36,0.38,0.38,0.39,0.41,0.36,0.39,0.41
"Ireland",8.93,8.31,6.93,8.00,7.25,7.60,8.04,6.88,8.50,8.10,8.68,9.16,9.82,9.42,10.70,11.56,14.82,14.98,15.23,14.70,14.17,13.73,13.20,12.49,12.50,12.50,11.67,11.75,10.08,10.64,11.22,10.99,10.58,9.94,10.99,9.85,9.57,9.43,8.30,8.17,8.10,9.37,8.45,8.34,9.04,8.69
"Italy",32.61,30.81,30.42,35.32,31.35,35.03,35.10,34.32,39.58,44.43,48.85,52.48,47.52,56.62,59.80,54.90,56.14,52.85,52.54,56.56,53.34,44.89,39.50,42.28,45.46,41.58,41.76,42.65,41.82,43.95,49.13,50.71,55.63,63.42,63.83,61.85,61.93,59.78,47.52,52.44,59.13,61.15,53.11,51.20,47.95,42.68
"Latvia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2.81,2.49,2.20,2.02,1.53,1.11,1.04,0.93,0.68,0.51,0.54,0.50,0.41,0.34,0.27,0.33,0.35,0.42,0.42,0.34,0.43,0.44,0.37,0.29,0.24,0.19,0.17
"Luxembourg",12.30,11.51,12.09,11.03,8.12,8.59,7.90,9.01,8.42,8.40,6.84,6.31,5.84,6.70,6.66,6.08,4.94,5.28,5.53,5.24,4.88,4.34,4.60,3.82,2.11,1.91,1.24,0.38,0.38,0.43,0.47,0.29,0.23,0.32,0.31,0.37,0.31,0.30,0.27,0.27,0.23,0.22,0.19,0.21,0.20,0.21
"Netherlands",15.23,14.27,15.97,15.05,12.39,10.88,11.03,12.29,12.71,14.44,17.01,19.25,20.20,24.06,23.99,24.94,26.51,32.03,31.72,29.87,27.19,27.19,28.28,30.50,33.74,32.40,31.76,32.59,28.47,29.71,31.76,31.99,33.04,32.54,31.06,29.65,32.31,30.44,28.53,29.05,28.37,31.45,31.65,35.15,43.24,39.96
"Norway",3.82,4.07,3.86,4.27,3.98,3.91,3.45,3.47,4.33,3.99,3.96,3.81,4.11,4.58,4.51,4.02,3.86,4.06,3.58,3.52,3.13,3.20,3.19,3.58,3.85,3.87,3.85,4.00,3.90,3.98,3.52,2.95,2.94,3.40,2.88,2.53,2.80,2.88,2.07,2.62,2.75,2.91,2.95,2.95,2.91,3.02
"Poland",254.54,262.71,273.26,283.79,292.68,311.94,319.79,342.00,346.98,356.89,330.67,339.15,340.12,354.04,365.91,369.42,384.68,372.32,353.57,291.13,293.41,284.62,283.92,274.69,273.50,284.36,269.17,244.59,233.02,221.42,219.66,213.68,219.63,218.49,215.55,224.85,220.11,214.04,203.35,214.62,210.83,206.66,206.65,194.79,193.51,193.95
"Portugal",2.51,1.67,2.07,1.70,1.67,1.59,1.61,1.68,1.73,1.65,1.44,1.18,1.55,1.42,2.93,5.51,7.08,8.13,9.64,10.80,11.34,11.65,12.44,13.80,14.17,13.64,13.65,12.55,14.93,14.96,12.61,13.77,12.98,13.13,13.38,13.22,11.41,9.97,11.32,6.53,8.83,11.59,10.51,10.62,12.91,11.27
