Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,340.230963,357.909214,375.653583,385.344415,377.105855,389.220678,401.597003,403.135728,417.314392,422.262328,402.774744,385.667481,379.044853,394.376073,393.880159,385.751236,396.623968,426.681217,442.25027,419.599321,413.075629,425.828742,423.272533,438.478886,448.985852,462.901206,478.528767,484.686143,494.760402,516.259214,508.57857,514.445156,534.262332,526.180993,540.036457,530.717651,561.89381,541.97774,514.48872,529.466868,537.27338,534.262956,542.449934,544.01283,541.76646,540.766363
Chile,21.036434,20.642593,20.006574,19.70978,17.111666,17.892465,18.680605,19.391087,20.630203,21.40532,21.301267,18.387406,19.013309,20.216271,19.631218,20.22654,20.510068,24.809152,30.009383,29.435281,28.268568,29.209383,30.973452,34.000863,37.075348,42.914597,49.430174,50.089616,52.634706,48.623721,46.674221,47.427096,48.616645,53.349045,54.434643,55.677481,63.075005,66.533462,64.212784,68.60477,75.316665,77.235768,81.861935,75.469695,81.153979,85.289602
Mexico,93.748085,106.449786,117.63082,128.283258,134.558215,145.195094,154.303378,170.194435,183.823466,204.603852,219.53837,230.363807,223.835736,231.835745,241.15384,239.877139,249.470633,248.323834,262.0536,256.956534,275.145774,278.010865,285.596143,309.344832,291.33645,304.78277,323.02212,345.372241,335.899908,359.735509,360.600416,368.116059,386.601962,396.045827,412.385133,426.860183,433.369089,434.539407,425.193595,440.460331,456.460302,459.456267,449.626507,434.204443,442.417187,445.466234
United States,4289.035491,4527.984121,4691.09084,4539.981903,4355.839173,4616.828575,4781.620662,4771.142676,4800.310293,4595.789108,4533.920777,4321.082509,4294.487971,4485.577874,4514.3132,4478.048562,4633.016127,4842.013217,4904.547624,4803.082721,4765.774178,4837.748581,4952.760229,5024.119645,5073.896077,5230.535481,5495.044433,5545.442049,5563.874588,5729.874597,5702.169417,5545.47832,5610.749687,5688.777629,5703.220159,5602.449663,5686.716033,5512.512895,5120.690225,5352.120429,5128.178036,4903.010208,5038.523668,5046.564609,4919.620275,4833.080867
OECD Americas,4744.050973,5012.985714,5204.381817,5073.319356,4884.614909,5169.136812,5356.201648,5363.863926,5422.078354,5244.060608,5177.535158,4955.501203,4916.381869,5132.005963,5168.978417,5123.903477,5299.620796,5541.82742,5638.860877,5509.073857,5482.264149,5570.797571,5692.602357,5805.944226,5851.293727,6041.134054,6346.025494,6425.590049,6447.169604,6654.493041,6618.022624,6475.466631,6580.230626,6664.353494,6710.076392,6615.704978,6745.053937,6555.563504,6124.585324,6390.652398,6197.228383,5973.965199,6112.462044,6100.251577,5984.957901,5904.603066
Australia,143.364797,148.422049,157.734251,172.549577,179.467404,181.88668,195.919375,191.090631,197.378898,206.729618,207.361597,213.666649,201.759511,208.045078,220.128054,221.505405,231.814089,240.802244,254.272929,259.6972,261.037246,265.056325,268.970128,274.914401,285.324088,295.801536,303.096647,323.74612,328.805251,334.645115,340.982487,348.962589,352.806647,366.604808,371.867414,377.308531,387.403727,389.924817,395.970955,389.061015,387.082638,386.549449,382.557079,373.333528,379.251548,392.365683
Israel,13.778019,14.4365,15.659229,15.826399,16.413189,16.487572,17.388626,18.583549,19.011563,18.855457,19.643968,20.938997,21.783112,22.673898,24.313614,26.724841,28.996163,30.701531,31.953823,32.818142,33.328659,35.554279,39.04647,41.854078,44.873872,47.059851,49.24706,49.314325,50.709177,54.843947,56.13128,59.258247,61.001666,61.175022,58.796708,62.007445,64.268459,64.478535,63.854186,68.43795,67.512455,73.751875,65.176035,62.862656,64.395847,63.741989
Japan,750.998474,788.841549,897.855217,886.076974,849.909982,876.460191,901.125462,895.711279,917.872351,870.613124,846.591641,820.252657,826.177189,886.756916,866.233796,866.288554,871.445919,936.97661,964.695218,1037.104219,1047.58277,1059.782906,1050.682779,1100.166709,1111.922929,1122.833175,1111.307906,1070.153558,1108.457805,1124.72116,1115.273811,1157.755781,1165.651444,1157.259793,1163.700225,1144.287457,1186.8955,1110.066854,1052.211619,1104.197609,1158.675124,1203.279308,1226.029243,1185.129189,1152.557751,1147.127886
Korea,52.942067,54.852832,68.234482,71.623919,77.728213,86.410586,98.633922,107.422626,121.255911,125.599652,131.379049,131.221847,139.158976,151.438049,155.729612,162.089279,168.385187,191.985988,203.227419,231.805829,255.832698,275.919895,302.904403,327.437085,357.306015,381.680322,402.317573,343.687212,378.158508,431.896996,445.86259,435.894685,437.778855,459.789615,457.67211,464.712075,477.413759,488.844487,502.089462,550.915668,573.760786,575.466346,574.551412,562.678579,582.047083,589.173106
New Zealand,13.501737,15.470591,16.696632,17.390734,16.429691,18.177906,18.718353,18.215977,16.358736,16.475729,16.255953,17.944019,18.063972,18.438748,18.905092,17.88374,19.129329,20.409646,20.531415,21.750035,22.068471,23.807204,23.421306,23.727297,23.933058,24.94738,27.184366,26.722531,28.116212,28.981912,31.182974,31.087785,32.976276,32.4434,33.71483,33.767985,32.616269,33.458769,30.469721,30.38642,29.689037,31.224129,30.967148,31.253573,31.241095,30.453806
OECD Asia Oceania,974.585094,1022.023521,1156.179811,1163.467603,1139.948479,1179.422935,1231.785738,1231.024062,1271.877459,1238.27358,1221.232208,1204.024169,1206.94276,1287.352689,1285.310168,1294.491819,1319.770687,1420.876019,1474.680804,1583.175425,1619.849844,1660.120609,1685.025086,1768.09957,1823.359962,1872.322264,1893.153552,1813.623746,1894.246953,1975.08913,1989.433142,2032.959087,2050.214888,2077.272638,2085.751287,2082.083493,2148.597714,2086.773462,2044.595943,2142.998662,2216.72004,2270.271107,2279.280917,2215.257525,2209.493324,2222.86247
Austria,48.607022,50.407469,53.809181,51.134598,49.488781,53.948371,51.327814,53.666002,55.916132,54.355288,51.554578,49.777732,49.400125,50.970217,52.649009,51.640979,52.387537,50.34032,50.396347,56.239538,60.415085,55.55983,55.768784,56.183025,59.549047,63.265737,62.456801,63.070895,61.444933,61.820266,66.191268,67.631888,72.707575,74.005807,74.324525,71.832719,69.36554,69.128659,62.819689,68.27817,66.736616,64.105134,64.769886,61.236901,62.50848,62.880284
Belgium,117.980385,127.97169,133.081569,130.928865,115.556917,124.648262,123.416568,128.767597,132.333195,125.549722,115.083466,108.702236,99.939946,101.8848,100.991894,101.276342,101.340329,103.036148,104.379181,106.288075,110.964245,109.180111,107.164719,111.986516,111.451236,116.715847,113.56685,116.205451,112.346719,113.772993,115.078046,107.596904,112.44002,111.062104,107.386999,105.44124,101.797506,103.705255,96.760526,103.664561,92.792428,92.308043,93.555571,87.377763,92.649633,91.558877
Czech Republic,153.47281,152.415267,149.353712,148.492884,154.982202,159.828869,169.335154,165.308109,174.865265,167.96917,168.595296,171.257312,172.464153,175.139306,175.254244,175.249365,176.287477,172.84077,165.297694,150.203119,136.901728,131.672653,128.787151,122.49916,123.1748,124.62453,122.708401,116.852773,109.982811,121.23048,121.09236,117.124546,121.28074,121.810539,118.369858,118.850272,121.581686,116.364228,109.643441,112.568666,109.465947,105.899084,101.630507,98.528828,99.649834,101.399209
Denmark,55.421762,57.404646,56.252822,50.016801,52.645638,58.309531,59.935156,59.551371,63.078827,63.060794,52.871366,55.048439,51.689957,53.285359,61.031789,61.596673,59.815034,55.990842,50.176538,50.983229,61.203676,55.320472,57.702233,61.616427,58.385222,71.637807,61.88662,57.966871,54.780946,50.797239,52.374008,52.08915,57.489002,51.847672,48.494951,56.404291,51.63992,48.659915,46.925431,47.254486,42.056009,36.858462,38.627526,34.441499,31.956094,33.456346
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.013969,31.366236,23.464924,18.096395,17.558585,15.889309,16.84821,16.432441,15.855307,14.837271,14.44753,14.907757,14.505466,16.490089,16.544191,16.742954,15.465212,19.247975,17.67851,14.693925,18.564258,17.626921,16.363801,18.774887,17.393007,15.111567,16.369772
Finland,39.854749,43.610239,47.924705,44.208851,44.188897,50.402785,50.029073,54.638495,54.120247,54.865628,45.547024,44.086135,42.605679,43.959899,48.28491,48.450348,52.188244,51.473092,51.503333,53.833602,54.563819,51.806991,53.100459,59.564024,55.714542,62.192978,60.173989,56.817759,56.031326,54.592702,60.584508,62.954763,71.241456,67.154132,54.91806,66.451003,64.497206,56.043504,53.795587,61.994354,54.559413,48.904744,49.528016,45.498268,42.428258,45.522182
France,423.373249,438.776211,474.377967,456.558514,423.108024,463.082453,448.85424,467.903305,474.560632,455.214065,407.159111,389.602133,373.927877,361.496258,351.797988,341.624457,335.13157,333.553901,349.263209,345.599383,370.301328,359.312754,340.932558,335.700424,343.648121,359.523642,351.029465,372.496356,366.617646,364.674797,368.205358,362.524181,368.282714,369.081267,371.892908,362.610971,354.326385,350.083285,336.751297,341.032142,313.971571,317.132692,317.534628,285.534648,292.161811,292.921517
Germany,978.142393,1001.573938,1052.182364,1025.899066,973.365912,1029.249681,1013.47175,1051.706576,1099.049165,1048.150694,1015.866913,974.527141,976.079879,995.679963,1004.256092,1006.959351,997.133455,989.62045,965.797786,940.007697,917.644162,877.601565,871.821883,859.106385,856.596919,887.062128,854.919673,846.943861,814.959374,812.311588,831.479229,817.901911,820.732401,804.67294,786.664308,799.169942,766.721515,775.186769,720.2054,758.802586,731.224672,744.674178,763.769235,723.177095,729.684104,731.622616
Greece,25.064794,28.936556,33.724801,32.259328,34.099705,38.825886,40.195777,42.652074,44.884608,45.176142,44.651866,45.941535,49.128435,50.822511,54.479892,54.349544,59.811272,63.806078,68.754271,69.857368,70.101969,72.315884,72.215898,73.814835,76.478497,76.379742,77.353676,80.744242,81.029454,87.923587,90.041815,90.283197,93.848633,93.480596,95.156342,94.103839,97.902895,94.351603,90.158173,83.369475,82.11721,76.98635,68.84516,65.726679,64.543194,63.07662
Hungary,60.254014,62.096777,66.405328,68.7585,70.172699,73.341079,76.925826,84.813758,83.386437,82.613653,81.711341,82.055376,78.436298,80.477095,79.755481,78.257237,79.111355,74.451867,72.969745,65.669984,63.450184,57.143067,57.360432,56.603262,56.245325,57.343906,55.816065,56.131285,56.686521,53.280259,54.923414,54.173905,56.774936,55.060798,54.722149,54.161505,52.522389,51.753193,46.866408,47.145125,46.34369,42.748779,40.246648,40.059452,42.708326,43.924369
Iceland,1.404193,1.498084,1.666274,1.661568,1.614155,1.590451,1.634357,1.757921,1.826959,1.746982,1.736251,1.563523,1.595158,1.694827,1.627914,1.701374,1.743664,1.827495,1.824251,1.895892,1.865968,1.899642,1.944587,2.054049,1.964277,2.225896,2.108483,2.100156,2.054976,2.161024,2.105557,2.205538,2.194306,2.269523,2.235375,2.272643,2.319832,2.121787,2.079882,1.949179,1.868721,1.859892,2.031819,2.047532,2.057452,2.064859
Ireland,21.642659,21.399206,20.829586,22.601036,21.148868,21.876155,23.487661,23.205509,27.053316,25.895831,25.700596,25.275319,25.123339,24.904505,26.453219,27.464477,29.104179,28.103307,29.240274,30.111238,30.729253,30.833896,30.993557,32.050448,32.636024,33.99175,34.999149,37.604455,39.114502,40.913302,43.063533,42.180231,42.095767,42.568805,44.392677,45.459161,44.648599,44.266516,39.694654,39.531373,35.393197,35.913173,34.606965,34.088825,35.355428,36.868437
Italy,289.401857,306.537252,328.081915,331.434413,317.060301,341.984759,332.594151,338.274627,353.929432,355.353191,345.953205,341.14618,336.382585,341.984101,342.046891,343.290874,362.713586,366.820719,384.750303,389.41197,388.384134,385.844309,382.857934,378.495496,401.10498,398.163461,401.287305,411.832183,417.730632,420.436643,420.181384,427.183045,445.257745,454.994774,456.431846,449.18446,441.461103,428.854468,383.717102,391.99231,384.107402,366.677221,337.575733,319.19181,329.683169,325.671434
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.777413,17.201457,13.832937,11.741527,10.14693,8.902534,8.90356,8.420925,8.027832,7.410153,6.841148,7.247263,7.234717,7.464351,7.479622,7.580594,8.030669,8.360267,7.938215,7.186292,8.087566,7.339138,6.995579,6.913281,6.72547,6.846251,6.799978
Luxembourg,16.472254,16.117635,17.447978,16.01207,12.739168,13.641983,12.956874,14.160952,13.262432,12.45036,10.53641,9.880091,9.239823,10.109477,10.335313,10.018151,9.425352,9.872807,10.640486,10.745618,11.238356,10.915147,11.213037,10.323386,8.225746,8.308616,7.800135,7.12157,7.454768,8.058588,8.690137,9.366786,9.847219,11.23354,11.482119,11.290824,10.698052,10.625698,10.068588,10.649662,10.513699,10.320016,9.780137,9.281987,8.810956,8.474903
Netherlands,127.67911,142.500871,148.450078,140.148818,131.962015,140.7235,138.521467,143.012108,153.154954,145.417307,143.265878,134.919366,130.472631,135.309143,138.396738,141.461848,145.369294,143.337953,146.408541,147.77482,153.812143,152.595451,157.538396,156.688145,163.582738,173.220902,165.882188,166.264867,160.906914,161.617311,166.590302,166.903653,169.919074,171.6587,167.167928,162.864905,163.648453,164.457079,159.674658,170.118877,158.191275,156.1988,155.871233,148.642553,156.120966,157.073491
Norway,23.001041,23.55877,23.368393,22.698537,23.603318,25.342983,26.583365,27.084156,28.798387,27.235492,25.468905,24.325871,24.409684,25.060858,26.41566,29.715105,27.581458,27.732841,27.092937,27.467397,25.954396,28.862531,30.531429,32.11595,31.408409,32.365373,34.117479,35.756733,37.220765,31.879205,32.889219,32.50398,35.070294,35.5936,34.500492,35.462102,36.037792,35.305622,35.683377,38.385799,36.887155,36.080748,35.951152,35.730232,36.071208,35.518923
Poland,287.362338,299.57673,312.790429,325.211972,338.900007,362.484692,375.047027,400.148263,406.116246,416.002249,385.785102,391.823631,394.117855,409.705582,422.392209,428.165066,443.657918,432.783255,413.572428,344.761564,346.210906,337.830361,338.869423,333.109204,333.337807,349.101162,337.888004,312.080075,302.800066,289.591387,288.640041,282.61095,293.129895,296.744984,296.261056,308.078152,306.29467,301.597379,291.47197,307.493266,303.187962,296.941208,292.406647,279.258968,282.696963,293.127293
Portugal,14.390622,14.550001,16.19153,16.487651,18.031114,19.347843,18.751925,19.756013,21.888964,23.75309,24.876923,25.369677,26.080644,25.040844,23.924907,27.251628,27.757932,28.861278,37.138374,37.892578,39.496684,43.638029,42.597786,44.010863,47.231135,45.354484,47.370563,52.063622,58.380628,57.852168,57.756558,61.694895,56.90757,58.124731,61.385795,56.44486,54.631604,52.832424,53.076547,47.561328,47.054939,45.67028,43.7412,42.835044,46.994838,47.374094
Slovak Republic,38.865866,39.294047,40.97194,41.84146,43.153698,43.689704,45.418861,50.650183,51.543248,55.776811,54.433044,52.820224,52.701845,54.56674,54.413316,51.687061,53.500048,54.299713,53.652462,54.811836,47.93813,44.789174,43.290923,40.586971,41.215622,41.074119,41.058446,39.581503,38.833148,36.882216,37.367992,36.900359,37.409628,36.21345,37.26225,36.484267,35.705258,35.423771,32.608976,34.572254,32.854933,31.25107,31.78539,29.17109,29.444724,30.213017
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.666342,14.104534,13.91216,13.886752,13.528748,12.737371,12.440549,13.267519,13.223293,14.063924,14.853931,15.284084,15.042971,14.445526,14.050948,14.875046,15.08115,14.966139,15.234876,15.443033,15.799291,15.752667,16.798294,15.109487,15.447067,15.426152,14.859063,14.211991,12.755724,12.804932,13.58587
Spain,119.087482,125.00522,139.380672,150.904318,155.843047,172.513817,165.222209,164.244717,174.772951,186.254116,190.241661,184.473412,187.942244,178.73519,173.02401,177.339517,178.122649,181.317425,198.712392,202.627272,210.399762,221.929575,208.165778,216.952711,228.207273,217.984601,235.853121,242.405526,263.870506,278.584641,279.777085,297.223652,302.617988,319.270642,333.710087,325.036575,337.863432,309.774429,276.08605,262.054508,264.87411,260.511877,235.161625,232.063961,247.067141,238.636038
Sweden,82.047454,82.173711,83.562245,76.514411,79.041442,85.8604,82.904322,77.583901,80.106153,73.120126,66.199133,60.477761,54.96474,54.040194,58.385787,59.862518,58.027614,55.592381,52.787517,52.077313,53.099272,55.656918,55.412876,57.379792,56.934848,62.422403,56.276557,57.230385,56.125849,51.989459,51.165356,52.743717,53.996707,52.309332,49.105657,46.627651,44.987536,42.956366,40.725652,46.062655,42.353647,39.246242,37.567141,37.295108,37.112387,37.997784
